carpark_number,address,x_coordinate,y_coordinate,latitude,longitude,carpark_type,type_of_parking_system,short_term_parking,free_parking,night_parking,carpark_decks,gantry_height,carpark_basement
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,1.3010626054203,103.854117716591,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,1.32100362343909,103.885060614257,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,1.32828282844232,103.84461955581,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,1.36909054947667,103.834984517007,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
AK31,BLK 302/348 ANG MO KIO ST 31,29482.029,38684.1754,1.36611975765045,103.846635298279,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK52,BLOCK 513 ANG MO KIO ST 53,29889.3457,39382.8134,1.37243796677541,103.850295364087,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
AK6,BLOCK 728 ANG MO KIO AVE 6,29283.7324,39647.8906,1.37483526278652,103.844853508225,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,31397.2241,39851.6191,1.37667754201541,103.863844779763,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,1.38359839098836,103.848367753316,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,1.37034913454673,103.835717951823,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
AM18,BLK 308C ANG MO KIO AVE 1,29257.6457,38619.9953,1.36553934611937,103.844619056883,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N
AM19,BLK 260 ANG MO KIO ST 21,28134.9305,38989.9965,1.36888553126707,103.834530690489,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N
AM20,BLK 309B ANG MO KIO ST 31,29421.1502,38526.8611,1.36469706627023,103.846088252781,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM22,BLK 316B ANG MO KIO STREET 31,29595.2539,38514.7606,1.36458762480824,103.847652693015,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM32,BLK 255A ANG MO KIO ST 21,28117.7689,39172.0389,1.37053185779419,103.83437648221,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N
AM43,BLK 455 ANG MO KIO ST 44,30669.2379,38959.5487,1.36861005200517,103.857303213327,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AM46,BLK 588 ANG MO KIO STREET 52,30234.4145,39354.0323,1.37217765665657,103.853396051077,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N
AM51,BLK 700 ANG MO KIO AVE 6,29489.025,39103.7605,1.36991433505199,103.84669818316,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
